actor_id,movie_id
nm0000892,tt1458175
nm0000893,tt1178663
nm0000894,tt0104473
nm0000895,tt0077000
nm0000896,tt0053454
nm0000897,tt0100405
nm0000898,tt0084749
nm0000899,tt0213847
nm0000900,tt0075359
nm0000901,tt0053472
nm0000902,tt0117468
nm0000903,tt0098780
nm0000904,tt0038369
nm0000905,tt0419198
nm0000906,tt0112346
nm0000907,tt0070909
nm0000908,tt0078875
nm0000909,tt0021825
nm0000910,tt0059978
nm0000911,tt5580390
nm0000912,tt0035446
nm0000913,tt0076500
nm0000914,tt0061418
nm0000915,tt0097239
nm0000916,tt1091191
nm0000917,tt0048893
nm0000918,tt0068883
nm0000919,tt0896680
nm0000920,tt0102340
nm0000921,tt0071230
nm0000922,tt0090009
nm0000923,tt0026421
nm0000924,tt1231277
nm0000925,tt0086034
nm0000926,tt0059410
nm0000927,tt1655420
nm0000928,tt0085794
nm0000929,tt0373469
nm0000930,tt0297884
nm0000931,tt0317648
nm0000932,tt0246460
nm0000933,tt0095816
nm0000934,tt0070849
nm0000935,tt0104118
nm0000936,tt0059800
nm0000937,tt0056197
nm0000938,tt0062078
nm0000939,tt0434409
nm0000940,tt0129923
nm0000941,tt0887912
nm0000942,tt0051525
nm0000943,tt0373163
nm0000944,tt0119092
nm0000945,tt0101428
nm0000946,tt0054047
nm0000947,tt0071577
nm0000948,tt1300854
nm0000949,tt0338751
nm0000950,tt0117589
nm0000951,tt0079672
nm0000952,tt0088206
nm0000953,tt0063671
nm0000954,tt0141926
nm0000955,tt0038650
nm0000956,tt0146882
nm0000957,tt0171363
nm0000958,tt0068473
nm0000959,tt0108358
nm0000960,tt1811315
nm0000961,tt0067328
nm0000962,tt0082398
nm0000963,tt0060801
nm0000964,tt0029855
nm0000965,tt0289043
nm0000966,tt0141842
nm0000967,tt0064177
nm0000968,tt0077452
nm0000969,tt0106489
nm0000970,tt0104670
nm0000971,tt0255477
nm0000972,tt0065161
nm0000973,tt0212346
nm0000974,tt0033253
nm0000975,tt0060138
nm0000976,tt0119643
nm0000977,tt1033575
nm0000978,tt0107144
nm0000979,tt0106918
nm0000980,tt0203009
nm0000981,tt0070909
nm0000982,tt1791528
nm0000983,tt0780504
nm0000984,tt0106145
nm0000985,tt0371246
nm0000986,tt0145547
nm0000987,tt0061578
nm0000988,tt0120591
nm0000989,tt0049833
nm0000990,tt0095174
nm0000991,tt0077355
nm0000992,tt0029682
nm0000993,tt0083564
nm0000994,tt0197521
nm0000995,tt0070047
nm0000996,tt0120844
nm0000997,tt0102685
nm0000998,tt0116365
nm0000999,tt0050933
nm0001000,tt0087562
nm0001001,tt0083190
nm0001002,tt2528814
nm0001003,tt0138097
nm0001004,tt0103874
nm0001005,tt0810784
nm0001006,tt0093748
nm0001007,tt0070291
nm0001008,tt0031679
nm0001009,tt0091993
nm0001010,tt0057413
